obj1,obj2,obj3,obj4,obj5,obj6,corrAns,key_resp_monotonicity.corr
red,red,red,red,red,red,c,1
blue,red,red,red,red,red,c,0
blue,blue,blue,blue,red,red,m,1
blue,blue,red,red,red,red,c,1
blue,blue,blue,red,red,red,m,1
blue,blue,blue,blue,blue,red,m,1
blue,blue,red,red,red,red,c,1
blue,red,red,red,red,red,c,1
blue,blue,blue,blue,blue,red,m,1
blue,blue,blue,red,red,red,m,1
red,red,red,red,red,red,c,1
blue,blue,blue,blue,red,red,m,1
,,,,,,,
,,,,,,,
yellow,yellow,blue,blue,blue,blue,c,1
yellow,yellow,yellow,blue,blue,blue,m,1
yellow,yellow,yellow,yellow,yellow,blue,m,1
yellow,yellow,yellow,yellow,blue,blue,m,1
yellow,blue,blue,blue,blue,blue,c,1
blue,blue,blue,blue,blue,blue,c,1
yellow,yellow,yellow,yellow,yellow,blue,m,1
yellow,yellow,blue,blue,blue,blue,c,1
yellow,blue,blue,blue,blue,blue,c,1
yellow,yellow,yellow,yellow,blue,blue,m,1
yellow,yellow,yellow,blue,blue,blue,m,1
blue,blue,blue,blue,blue,blue,c,1
,,,,,,,
,,,,,,,
blue,blue,blue,blue,blue,blue,c,1
red,red,red,red,blue,blue,m,1
red,red,red,red,red,blue,m,1
red,red,red,blue,blue,blue,m,1
red,blue,blue,blue,blue,blue,c,1
red,red,blue,blue,blue,blue,c,0
red,red,red,red,red,blue,m,1
red,red,red,blue,blue,blue,m,1
blue,blue,blue,blue,blue,blue,c,1
red,red,blue,blue,blue,blue,c,1
red,red,red,red,blue,blue,m,1
red,blue,blue,blue,blue,blue,c,1
,,,,,,,
,,,,,,,
green,green,red,red,red,red,c,1
green,green,green,green,red,red,m,1
red,red,red,red,red,red,c,1
green,green,green,red,red,red,m,1
green,green,green,green,green,red,m,1
green,red,red,red,red,red,c,1
green,green,green,green,green,red,m,1
green,green,green,green,red,red,m,1
green,green,green,red,red,red,m,1
red,red,red,red,red,red,c,1
green,red,red,red,red,red,c,1
green,green,red,red,red,red,c,1
,,,,,,,
,,,,,,,
red,red,red,red,green,green,m,1
red,green,green,green,green,green,c,1
green,green,green,green,green,green,c,1
red,red,red,green,green,green,m,1
red,red,green,green,green,green,c,1
red,red,red,red,red,green,m,1
red,red,red,red,red,green,m,1
green,green,green,green,green,green,c,1
red,green,green,green,green,green,c,1
red,red,red,green,green,green,m,1
red,red,green,green,green,green,c,1
red,red,red,red,green,green,m,1
,,,,,,,
,,,,,,,
green,green,green,green,green,yellow,m,1
green,green,green,yellow,yellow,yellow,m,1
green,yellow,yellow,yellow,yellow,yellow,c,1
green,green,yellow,yellow,yellow,yellow,c,1
yellow,yellow,yellow,yellow,yellow,yellow,c,1
green,green,green,green,yellow,yellow,m,1
green,green,green,green,green,yellow,m,1
green,green,green,yellow,yellow,yellow,m,1
green,green,green,green,yellow,yellow,m,1
green,green,yellow,yellow,yellow,yellow,c,1
yellow,yellow,yellow,yellow,yellow,yellow,c,1
green,yellow,yellow,yellow,yellow,yellow,c,1
,,,,,,,
,,,,,,,
yellow,yellow,yellow,yellow,yellow,green,m,1
yellow,yellow,yellow,yellow,green,green,m,1
yellow,green,green,green,green,green,c,1
yellow,yellow,green,green,green,green,c,1
yellow,yellow,yellow,green,green,green,m,1
green,green,green,green,green,green,c,1
yellow,green,green,green,green,green,c,1
yellow,yellow,green,green,green,green,c,1
green,green,green,green,green,green,c,1
yellow,yellow,yellow,yellow,green,green,m,1
yellow,yellow,yellow,green,green,green,m,1
yellow,yellow,yellow,yellow,yellow,green,m,1
,,,,,,,
,,,,,,,
blue,blue,blue,blue,blue,yellow,m,1
blue,blue,blue,yellow,yellow,yellow,m,1
blue,blue,blue,blue,yellow,yellow,m,1
blue,yellow,yellow,yellow,yellow,yellow,c,1
yellow,yellow,yellow,yellow,yellow,yellow,c,1
blue,blue,yellow,yellow,yellow,yellow,c,1
blue,blue,yellow,yellow,yellow,yellow,c,1
blue,blue,blue,yellow,yellow,yellow,m,1
blue,blue,blue,blue,yellow,yellow,m,1
blue,blue,blue,blue,blue,yellow,m,1
yellow,yellow,yellow,yellow,yellow,yellow,c,1
blue,yellow,yellow,yellow,yellow,yellow,c,1
